,overall_acc,dp,eop,average_odds_difference,grp_0_acc,grp_1_acc,epoch_loss
395,0.9085569503627778,0.17799668474292243,-0.02592279805553277,0.026026933252771653,0.9633569739952719,0.8821991017112968,0.24789339303970337
396,0.9091711773964452,0.18076743644984433,-0.02662313586553522,0.025801497715891762,0.9635933806146572,0.882995053726761,0.24464422464370728
397,0.9085185611731736,0.17634052794924615,-0.023134034586617558,0.024272655699284995,0.9630023640661939,0.8823128091420774,0.25535064935684204
398,0.9092479557756535,0.1817130629273857,-0.022248313238673267,0.025619547206430282,0.9635933806146572,0.8831087611575417,0.3429213762283325
399,0.9089792314484241,0.17534254363522658,-0.029059441743795378,0.026256373989545292,0.9635933806146572,0.8827107851498095,0.32310813665390015
400,0.9095934584820914,0.18247754379046544,-0.02193590764695652,0.02418568564444811,0.9634751773049646,0.8836772983114447,0.23913085460662842
401,0.9099005719989252,0.18024676125350753,-0.02762786886746671,0.02530313641481966,0.9638297872340426,0.8839615668883961,0.3322952687740326
402,0.9105147990325925,0.183874814570196,-0.028466672159512263,0.026922953686157124,0.9644208037825059,0.8845869577576895,0.2702498137950897
403,0.9099773503781335,0.18100833894814172,-0.022707194712220713,0.023275933097141002,0.9634751773049646,0.8842458354653476,0.2619677782058716
404,0.9109754693078429,0.18274673202021413,-0.029740325725742256,0.027061419168200103,0.9646572104018912,0.8851554949115925,0.27827876806259155
405,0.9102076855157588,0.17751038386741552,-0.025748857945858905,0.02273008156875672,0.9634751773049646,0.8845869577576895,0.2735675871372223
406,0.9110906368766555,0.18172046197474323,-0.023399522122435568,0.023097987787573375,0.9639479905437353,0.8856671783501052,0.2936214804649353
407,0.9107451341702176,0.17996698855546805,-0.026354215301236827,0.023916765080149782,0.9639479905437353,0.8851554949115925,0.19740594923496246
408,0.9076356098122769,0.1769780959972968,-0.013597081468054495,0.02513491801927987,0.9627659574468085,0.8811188811188811,0.3222087025642395
409,0.9060616530385044,0.18070636910802973,-0.014930240861278254,0.0264045663856161,0.9622931442080378,0.87901529364944,0.2996405065059662
410,0.9054858151944413,0.18009156270702717,-0.007948605274962661,0.023463605320736394,0.9614657210401891,0.8785604639263176,0.2862696349620819
411,0.9053322584360244,0.18285332265612494,-0.008692428112383688,0.022597337800847772,0.9612293144208038,0.8784467564955369,0.2919534146785736
412,0.9045644746439403,0.17911315461912244,-0.003427306766270233,0.02072633727902739,0.9605200945626478,0.8776508044800728,0.2962345480918884
413,0.9036815232830435,0.17676576148293843,-0.004416018968626756,0.020973515329616534,0.9601654846335698,0.8765137301722667,0.3062485158443451
414,0.9050635341087949,0.18083806005445863,-0.00836400172109164,0.021388911775745444,0.9608747044917257,0.8782193416339757,0.27490338683128357
415,0.9044876962647318,0.1793913346066953,-0.009083793359149772,0.02213845632730039,0.9607565011820332,0.8774233896185115,0.2390647977590561
416,0.9050635341087949,0.17884368413688598,-0.011275209872474434,0.02077382750633966,0.9607565011820332,0.8782761953493661,0.2743011713027954
417,0.9052938692464202,0.18142298801354326,-0.01297227028462089,0.023918481594389945,0.9614657210401891,0.8782761953493661,0.2719986140727997
418,0.9052170908672118,0.17754054456182117,-0.01450683401536168,0.022255179295634114,0.9611111111111111,0.8783330490647564,0.2871094346046448
419,0.9043725286959192,0.17671920998335114,-0.011172219018062313,0.019951045013869434,0.9602836879432625,0.8774802433339018,0.25251027941703796
420,0.9051403124880034,0.1796126608788778,-0.013102725366876289,0.021822045535689748,0.9609929078014184,0.8782761953493661,0.29451417922973633
421,0.9058313179008791,0.18443913809767468,-0.014582360641930525,0.026335333644594575,0.9621749408983451,0.8787310250724885,0.3036805987358093
422,0.9044876962647318,0.17467697210821237,-0.01567749672717944,0.021523372057894556,0.9606382978723405,0.8774802433339018,0.2572680413722992
423,0.9058313179008791,0.18100993165860838,-0.021409509946627825,0.026335333644594575,0.9621749408983451,0.8787310250724885,0.2981536090373993
424,0.9053706476256286,0.17488930662257074,-0.023525399833383642,0.02435161535433429,0.9615839243498818,0.8783330490647564,0.32816067337989807
425,0.9054474260048371,0.17688368254014333,-0.019202072633727862,0.023554580575467096,0.9614657210401891,0.8785036102109273,0.27394869923591614
426,0.9056777611424622,0.17835288738246705,-0.01697518149277233,0.023008729047082843,0.9614657210401891,0.8788447325032691,0.2555949091911316
427,0.9057545395216707,0.17893940805201833,-0.014514844415149275,0.02282677853762142,0.9614657210401891,0.8789584399340497,0.2929970324039459
428,0.905639371952858,0.18351439830422706,-0.023106570358774392,0.0280203784570597,0.9624113475177305,0.8783330490647564,0.3512422442436218
429,0.905255480056816,0.17456167196696518,-0.020242280263290446,0.02154911977149765,0.9609929078014184,0.8784467564955369,0.24938181042671204
430,0.906368766555338,0.17941802762767992,-0.022683163512857818,0.02506168007836458,0.9621749408983451,0.8795269770879527,0.25049132108688354
431,0.9063303773657339,0.17805962704769138,-0.016567795446431055,0.021462149716660738,0.9614657210401891,0.8798112456649042,0.30016639828681946
432,0.9066374908825675,0.1773144401582388,-0.02664258969359079,0.025655021834061147,0.9624113475177305,0.8798112456649042,0.32518285512924194
433,0.9065991016929633,0.17930272748643272,-0.029751769154010232,0.02759124989700914,0.9627659574468085,0.879583830803343,0.2521410584449768
434,0.9069446043994012,0.1795780043055601,-0.0291624325982075,0.026772472604432725,0.9627659574468085,0.8800955142418557,0.2343699187040329
435,0.9069446043994012,0.17732343191606295,-0.025230470645317804,0.024927219796215427,0.9624113475177305,0.8802660753880266,0.2525373697280884
436,0.9064455449345464,0.17563290080155672,-0.018838171614805055,0.021189223952468583,0.9614657210401891,0.8799818068110751,0.31698811054229736
437,0.9074052746746516,0.17780205149172457,-0.033762690761949155,0.027526022355881426,0.9631205673758865,0.8806071976803684,0.24001219868659973
438,0.9075204422434643,0.17980092328820924,-0.029621314071754834,0.027253096591689306,0.9631205673758865,0.8807777588265393,0.30319660902023315
439,0.9074436638642558,0.17705714685475973,-0.024364203125429196,0.02497471002352772,0.9626477541371158,0.88089146625732,0.34275704622268677
440,0.9079427233291105,0.17883441012657414,-0.03139733413895063,0.02748253732846298,0.9633569739952719,0.881289442265052,0.2938445210456848
441,0.9079043341395063,0.17736070940533838,-0.03412659178087207,0.02818859685259948,0.9634751773049646,0.8811757348342715,0.25347501039505005
